,logistics,_id,area,weight,fee,time
96,武汉中通,75506176863845,浙江,1.5,2.85,2021-11-03
97,武汉中通,75506176575293,浙江,1.5,2.85,2021-11-03
98,武汉中通,75506176572863,浙江,1.5,2.85,2021-11-03
99,武汉中通,75506176867307,浙江,1.5,2.85,2021-11-03
100,武汉中通,75506177491573,浙江,1.5,2.85,2021-11-03
101,武汉中通,75506176710427,浙江,1.5,2.85,2021-11-03
102,武汉中通,75506176865930,浙江,1.5,2.85,2021-11-03
103,武汉中通,75506176884362,浙江,1.5,2.85,2021-11-03
104,武汉中通,75506176733358,浙江,1.5,2.85,2021-11-03
105,武汉中通,75506176711158,浙江,1.5,2.85,2021-11-03
106,武汉中通,75506177368833,浙江,1.5,2.85,2021-11-03
107,武汉中通,75506176733026,浙江,1.5,2.85,2021-11-03
108,武汉中通,75506176712167,浙江,1.5,2.85,2021-11-03
109,武汉中通,75506176572810,浙江,1.5,2.85,2021-11-03
110,武汉中通,75506176711145,浙江,1.5,2.85,2021-11-03
111,武汉中通,75506176883843,浙江,1.5,2.85,2021-11-03
112,武汉中通,75506176574846,浙江,1.5,2.85,2021-11-03
113,武汉中通,75506176870582,浙江,1.5,2.85,2021-11-03
114,武汉中通,75506176708763,浙江,1.5,2.85,2021-11-03
115,武汉中通,75506176589484,浙江,1.5,2.85,2021-11-03
116,武汉中通,75506176588595,浙江,1.5,2.85,2021-11-03
117,武汉中通,75506177492541,浙江,1.5,2.85,2021-11-03
118,武汉中通,75506176576432,浙江,1.5,2.85,2021-11-03
119,武汉中通,75506176572756,浙江,1.5,2.85,2021-11-03
120,武汉中通,75506176865996,浙江,1.5,2.85,2021-11-03
121,武汉中通,75506176711939,浙江,1.5,2.85,2021-11-03
122,武汉中通,75506177025846,浙江,1.5,2.85,2021-11-03
123,武汉中通,75506176864428,江西,1.5,2.85,2021-11-03
124,武汉中通,75506176713679,江西,1.5,2.85,2021-11-03
125,武汉中通,75506177493839,江西,1.5,2.85,2021-11-03
126,武汉中通,75506177492102,江西,1.5,2.85,2021-11-03
127,武汉中通,75506176574322,江西,1.5,2.85,2021-11-03
128,武汉中通,75506176884467,江西,1.5,2.85,2021-11-03
129,武汉中通,75506177490827,江西,1.5,2.85,2021-11-03
130,武汉中通,75506176732165,江西,1.5,2.85,2021-11-03
131,武汉中通,75506177493918,江西,1.5,2.85,2021-11-03
132,武汉中通,75506176575913,江西,1.5,2.85,2021-11-03
133,武汉中通,75506176731376,江西,1.5,2.85,2021-11-03
134,武汉中通,75506176587851,江西,1.5,2.85,2021-11-03
135,武汉中通,75506177490516,江西,1.5,2.85,2021-11-03
136,武汉中通,75506176866250,江西,1.5,2.85,2021-11-03
137,武汉中通,75506176733399,江西,1.5,2.85,2021-11-03
138,武汉中通,75506176865161,江西,1.5,2.85,2021-11-03
139,武汉中通,75506176864058,江西,1.5,2.85,2021-11-03
140,武汉中通,75506177493203,江西,1.5,2.85,2021-11-03
141,武汉中通,75506176865544,江西,1.5,2.85,2021-11-03
142,武汉中通,75506176866709,江西,1.5,2.85,2021-11-03
143,武汉中通,75506176866354,江西,1.5,2.85,2021-11-03
144,武汉中通,75506176587609,江西,1.5,2.85,2021-11-03
145,武汉中通,75506176864471,江西,1.5,2.85,2021-11-03
146,武汉中通,75506176732336,江西,1.5,2.85,2021-11-03
147,武汉中通,75506177025682,江西,1.5,2.85,2021-11-03
148,武汉中通,75506176731447,江西,1.5,2.85,2021-11-03
149,武汉中通,75506176576486,江西,1.5,2.85,2021-11-03
150,武汉中通,75506176864469,江西,1.5,2.85,2021-11-03
151,武汉中通,75506176865529,江西,1.5,2.85,2021-11-03
152,武汉中通,75506176883499,江西,1.5,2.85,2021-11-03
153,武汉中通,75506177052014,江西,1.5,2.85,2021-11-03
154,武汉中通,75506176711847,江西,1.5,2.85,2021-11-03
155,武汉中通,75506176870506,江西,1.5,2.85,2021-11-03
156,武汉中通,75506176709808,江西,1.5,2.85,2021-11-03
157,武汉中通,75506176589436,江西,1.5,2.85,2021-11-03
158,武汉中通,75506176733105,江西,1.5,2.85,2021-11-03
159,武汉中通,75506177492235,江西,1.5,2.85,2021-11-03
160,武汉中通,75506177025932,江西,1.5,2.85,2021-11-03
161,武汉中通,75506176870419,江西,1.5,2.85,2021-11-03
162,武汉中通,75506176870513,江西,1.5,2.85,2021-11-03
163,武汉中通,75506177492450,江西,1.5,2.85,2021-11-03
164,武汉中通,75506176883815,江西,1.5,2.85,2021-11-03
165,武汉中通,75506176866673,江西,1.5,2.85,2021-11-03
166,武汉中通,75506177491532,江西,1.5,2.85,2021-11-03
167,武汉中通,75506176575145,江西,1.5,2.85,2021-11-03
168,武汉中通,75506176572955,江西,1.5,2.85,2021-11-03
169,武汉中通,75506176574136,江西,1.5,2.85,2021-11-03
170,武汉中通,75506176866206,江西,1.5,2.85,2021-11-03
171,武汉中通,75506177025866,江西,1.5,2.85,2021-11-03
172,武汉中通,75506176884242,江西,1.5,2.85,2021-11-03
173,武汉中通,75506177490801,江西,1.5,2.85,2021-11-03
174,武汉中通,75506176731077,江西,1.5,2.85,2021-11-03
